,alpha_power_1,alpha_power_2,alpha_power_3,alpha_power_4,alpha_power_5,alpha_power_6,alpha_power_7,alpha_power_8,beta_power_1,beta_power_2,beta_power_3,beta_power_4,beta_power_5,beta_power_6,beta_power_7,beta_power_8,gamma_power_1,gamma_power_2,gamma_power_3,gamma_power_4,gamma_power_5,gamma_power_6,gamma_power_7,gamma_power_8,theta_power_1,theta_power_2,theta_power_3,theta_power_4,theta_power_5,theta_power_6,theta_power_7,theta_power_8,label
54,0.085919908,0.026359553,0.029571236,0.061303869,0.049635298,0.078969292,0.07030598,0.049098127,0.206704766,0.03223077,0.041237597,0.060938613,0.052567551,0.05963643,0.04845674,0.033080155,0.239916152,0.134643429,0.127520179,0.197841772,0.315073605,0.269644089,0.479487569,0.094096767,0.116711863,0.023090428,0.02251203,0.051241784,0.040962767,0.050249983,0.034519534,0.035143423,yoga
55,0.079891815,0.022363789,0.021626937,0.063238087,0.046676395,0.088278889,0.063963853,0.058399952,0.163923869,0.03811081,0.032011804,0.065342528,0.061326361,0.056530196,0.056414802,0.037223231,0.205617292,0.175775765,0.122235857,0.248109766,0.317881508,0.270596084,0.46377755,0.09316489,0.099650902,0.018373612,0.015755982,0.042296156,0.035010558,0.03553647,0.030199506,0.025557417,yoga
56,0.076594936,0.016685892,0.009745448,0.088211633,0.0637081,0.121435101,0.08185819,0.081460604,0.158662455,0.013814099,0.008549804,0.045019172,0.036038709,0.045986386,0.041618377,0.032262464,0.180435124,0.050800158,0.025643707,0.129844483,0.197540194,0.184391485,0.391300848,0.054680733,0.097031222,0.007075156,0.004139538,0.031353627,0.024666419,0.0295343,0.025761521,0.024117935,yoga
57,0.013133616,0.03134628,0.010043166,0.068292264,0.06834159,0.011040722,0.031911996,0.02111738,0.019130177,0.023869861,0.010931703,0.038947541,0.050063203,0.012824783,0.062773457,0.014894736,0.013901644,0.051435356,0.005688944,0.073799353,0.078376006,0.0108508,0.226218534,0.008079735,0.027405569,0.021887203,0.026483989,0.042248873,0.024201795,0.028155499,0.027845149,0.027169599,yoga
58,0.085337003,0.057289931,0.058688308,0.12778848,0.093081782,0.140260167,0.115679544,0.109125854,0.183092128,0.039043686,0.044082782,0.064087986,0.042399601,0.057106303,0.050718044,0.04935217,0.204730867,0.08629703,0.083281189,0.115913358,0.189478874,0.176579636,0.376423986,0.047620838,0.098377515,0.035902853,0.037967058,0.072386956,0.052924336,0.053581919,0.040575795,0.045770939,yoga
59,0.051310578,0.056298074,0.06673899,0.095620749,0.06812915,0.120485844,0.111364687,0.089047348,0.110274441,0.048475824,0.0578327,0.064544939,0.043039706,0.058760834,0.053229621,0.046021387,0.120343839,0.097970614,0.08642153,0.096729508,0.157969781,0.164618794,0.357223116,0.044605527,0.062876344,0.052968501,0.054892249,0.082659779,0.05764326,0.067261919,0.049475397,0.055404187,yoga
60,0.00764083,0.011224321,0.009326387,0.006760296,0.007821948,0.004957414,0.010499061,0.00869213,0.026356941,0.036811574,0.034536099,0.023437146,0.024628328,0.01534398,0.014962773,0.042173744,0.055884045,0.082322622,0.080175749,0.053019771,0.071712314,0.0390785,0.046555386,0.130597299,0.00859772,0.015694678,0.010869943,0.008994409,0.011816637,0.007856558,0.035733834,0.011402159,pain
61,0.011367023,0.017239731,0.012643675,0.012700439,0.016082413,0.014321869,0.011137079,0.014134697,0.020861162,0.028175352,0.023767413,0.021107452,0.032057738,0.025081327,0.011617863,0.039535952,0.046393396,0.064052227,0.053181041,0.046173455,0.087844486,0.058537371,0.02733653,0.125041196,0.023138217,0.032406044,0.021164111,0.020507571,0.021762251,0.021699986,0.034590532,0.022042168,pain
62,0.009048784,0.013328505,0.012126291,0.003020564,0.016620323,0.013597869,0.012547337,0.009793955,0.024664982,0.031439453,0.040678964,0.006977387,0.069557579,0.03212009,0.011175119,0.049291998,0.050625721,0.063050193,0.086399027,0.015311237,0.16526777,0.068985685,0.018856892,0.105992703,0.015594902,0.023580417,0.016893188,0.004451681,0.019958159,0.018627069,0.050881755,0.015126559,pain
63,0.012026458,0.013025219,0.011380504,0.009009817,0.016211007,0.016208771,0.01075694,0.018462964,0.033011865,0.032709461,0.034455081,0.024311612,0.058469076,0.038616622,0.009591561,0.091352567,0.064109841,0.059370448,0.072569329,0.046541533,0.140849286,0.076535437,0.024093954,0.204105461,0.019126888,0.01935757,0.014377221,0.012652031,0.018165902,0.021448092,0.039969994,0.021042808,pain
